 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
5349	ālqrūd tʾakl al-mūz	ālqrūd tḥb akl al-ʿšb	1
5350	sḥb ǧāk zlẗ al-qṭār mn ǧībh	sḥb ǧāk zlẗ al-ūrq mn ǧībh	0
5351	hnāk šms fī fṣlnā	hnāk ṭāʾir fī fṣlnā	0
5352	lqd ẖrǧt ṭāʾirẗ ūrqīẗ mn mʿṭfī	ʾaẖrǧt zr mn mʿṭfī	0
5353	nḥn nzrʿ al-ʿdīd mn al-ẖḍrwāt al-mẖtlfẗ llʾakl: al-bṭāṭs , al-bāḏnǧān , ilẖ.	nḥn nzrʿ al-ʿdīd mn al-ẖḍrwāt al-mẖtlfẗ llʾakl: al-bṭāṭs , lḥm al-ẖnzīr , ilẖ.	1
5354	ālṭʿām al-ḥlū ǧīd lʾasnānnā	ālṭʿām al-ḥlū sīʾi lʾasnānnā	0
5355	nfd al-māl , lḏlk ʿlīnā tġyir al-bṭārīẗ	nfdt al-ṭāqẗ lḏlk ʿlīnā tġyir al-bṭārīẗ	0
5356	īǧb an aḏhb ili al-ḥlāq fī nhāīẗ hḏā al-ʾasbūʿ , mʿṭfī ṭwyl ǧddā	īǧb an aḏhb ili al-ḥlāq fī nhāīẗ hḏā al-ʾasbūʿ , šʿrī ṭwyl ǧddā	0
5357	ḍʿ dftr mlāḥẓātk fī ḥqībẗ mdrstk	ḍʿ kbdk fī ḥqībẗ mdrstk	1
5358	iḏā mrḍt slḥfāẗ ḥīwānk al-ʾalīf , ẖḏh ili al-ḥlāq	iḏā mrḍt al-slḥfāẗ al-ʾalīfẗ , aṣṭḥbh ili al-ṭbīb al-bīṭrī	0
5359	bdʾa al-ǧrāḥūn bfrk aīdīhm ūʾaḏrʿhm bālṣābūn qbl iǧrāʾ al-ʿmlīẗ	bdʾa al-ǧrāḥūn bfrk aīdīhm ūʾaḏrʿhm bāstẖdām al-mstḥḍr qbl iǧrāʾ al-ʿmlīẗ	1
5360	īǧb an aʿlq mlābsī fī al-frn	īǧb an aʿlq mlābsī fī al-ẖzānẗ	0
5361	rfʿ īdh kmā lū kān īẖlʿ qbʿth	rfʿ īdh kmā lū kān īẖlʿ sīārth	1
5362	hnāk bʿḍ al-sndwyšāt iḏā knt ǧāʾiʿًā	hnāk bʿḍ al-bnzīn iḏā knt ǧāʾiʿًā	1
5363	ḥūt īʿīš fī al-mḥīṭ	ḥūt īʿīš fī al-smāʾ	1
5364	lā tšrb al-kṯīr mn al-qhūẗ fī al-līl , wilā fln ttmkn mn al-nūm	lā tšrb al-kṯīr mn al-māʾ līlāً , wilā fln ttmkn mn al-nūm	1
5365	knt arkb ẓhr ṣdīqī	knt arkb ʿli ẓhr drāǧẗ ṣdīq	0
5366	ʾanā fqṭ aṣnʿ ṣlṣẗ llʾaksǧīn	ʾanā fqṭ aṣnʿ ṣlṣẗ al-qrnbīṭ	0
5367	iḏā šʿr an al-šʿr fḍfāḍ llġāīẗ , fqd īūṣī ṭbībk bizālth	iḏā kān al-sn ībdū fḍfāḍḍā ǧddā , fqd īūṣī ṭbībk bizālth	0
5368	ālṣẖrẗ ġnīẗ bālnbīḏ al-mʿdnī	ālṣẖūr ġnīẗ bālʾamlāḥ al-mʿdnīẗ	0
5369	ʾasqṭ ʿmlẗ mʿdnīẗ fī al-ʾālẗ ūsḥb al-ṭāʾirẗ	ʾasqṭ ʿmlẗ mʿdnīẗ fī al-ʾālẗ ūsḥb al-rāfʿẗ	0
5370	ʾastẖdm al-kṯīr mn al-ūrq lʾadāʾī al-mdrsī	ʾastẖdm al-kṯīr mn al-rṣāṣ fī wāǧbātī al-mdrsīẗ	1
5371	sīʿtnī ǧlīsẗ al-ʾaṭfāl brʿāīẗ abnī ʿndmā aḏhb llʿml	sīʿtnī ǧlīsẗ al-ʾaṭfāl bsīārtī ʿndmā aḏhb ili al-ʿml	1
5372	ʿādẗ mā īstmʿ al-mrīḍ ili nṣīḥẗ al-ṭbīb	ʿādẗ mā īstmʿ al-mrīḍ ili nṣīḥẗ al-mmṯl	1
5373	hnāk al-ʿdīd mn anwāʿ al-rwāīāt , lkn al-mfḍlẗ hī al-sbāḥẗ	hnāk anwāʿ kṯīrẗ mn al-ʾalʿāb al-rīāḍīẗ , lkn al-mfḍlẗ hī al-sbāḥẗ	0
5374	lā īmkn llnbātāt an tnmū bdūn māʾ	lā īmkn an tnmū al-nbātāt bdūn zīt	1
5375	bmǧrd ūṣūlh ili al-mẖtbr mmā bdʾa fī iǧrāʾ al-tǧrbẗ	bmǧrd ūṣūlh ili al-mktbẗ mmā bdʾa fī iǧrāʾ al-tǧrbẗ	1
5376	ūǧd māīk ūẓīfẗ ṣʿbẗ kmbrmǧ kmbīūtr	ūǧd māīk rīāḍẗ ṣʿbẗ kmbrmǧ kmbīūtr	1
5377	tḥtwy mʿẓm al-fnādq ʿli mwāqʿ wyb ḥīṯ īmknk al-ʿṯūr ʿli iǧābāt lʾasʾiltk	tḥtwy mʿẓm al-fnādq ʿli mwāqʿ wyb ḥīṯ īmknk al-ʿṯūr ʿli iǧābāt lāmtḥānk	1
5378	āẖlṭī al-zbādī wālsm lṣnʿ mẖfūq al-fṭūr	āẖlṭī al-zbādī wālfākhẗ ltḥḍīr mẖfūq al-fṭūr	0
5379	dʿnā ntnāūl ūǧbẗ ẖfīfẗ fī aqrb mṭʿm	dʿnā ntnāūl ūǧbẗ ẖfīfẗ fī aqrb mẖtbr	1
5380	lqd aklt zārā al-kʿkẗ bʾakmlhā	lqd aklt zārā al-sīārẗ bʾakmlhā	1
5381	ẖtm al-ẓrf wuḍʿ ʿli qlm	ẖtm al-ẓrf wuḍʿ ʿli ẖtm	0
5382	ltnāūl al-fṭūr kān ldī šrīḥẗ smīkẗ mn al-ẖbz	ltnāūl al-fṭūr kān ldī šrīḥẗ smīkẗ mn al-māʾ	1
5383	ʾabqt ǧīšhā tḥt al-frāš	āḥtfẓt bʾamwālhā tḥt al-frāš	0
5384	ṣb al-lbn al-mẖfūq fī kūb ūšrbh	nskb mẖfūq al-lbn fī ūrqẗ ūnšrbh	1
5385	ḥlqt al-ṭāʾirẗ fī al-smāʾ	ḥlqt al-ṭāʾirẗ fī al-bḥr	1
5386	sʿl al-ḥlwi al-ʿālqẗ fī ḥlqh	sʿl al-qārb al-ʿālq fī ḥlqh	1
5387	kānt al-šrkẗ tfḥṣ al-ʾamtʿẗ ʿli aǧhzẗ al-ʾašʿẗ al-sīnīẗ	kānt al-šrkẗ tqūm bfḥṣ al-ḥīwānāt al-ʾalīfẗ ʿli aǧhzẗ al-ʾašʿẗ al-sīnīẗ	1
5388	ʾaẖḏ klbbā mn al-rf	ʾaẖḏ ktābā mn al-rf	0
5389	īmkn an tkūn slẗ qmāmẗ wāḥdẗ llmṭr	īmkn an tkūn qmāmẗ wāḥdẗ llqmāmẗ	0
5390	īūǧd hātf dāẖl ṣālẗ al-mdẖl	īūǧd qṭār dāẖl ṣālẗ al-mdẖl	1
5391	msḥt anfhā bmndīl	msḥt anfhā bḥḏāʾ	1
5392	lqd ʿmlt ṭāhīā lmdẗ ẖms snwāt	ʾaʿml kḥīwān al-īf lmdẗ ẖms snwāt	1
5393	īǧb an aṣnʿ al-ūrqẗ bʿd an astīqẓ	ʿlī an aṣnʿ al-srīr bʿd al-nhūḍ	0
5394	ālḥlīb mn ṯdī al-ʾam hū al-ġḏāʾ al-mṯālī llṭfl al-rḍīʿ	ālḥlīb mn rātb al-ʾam hū al-ġḏāʾ al-mṯālī llṭfl al-bšrī	1
5395	āẖtārt mqʿdā bǧānb brkẗ al-bṭ	āẖtārt mqʿddā bǧānb brkẗ al-dīnāṣūr	1
5396	kān ṣāḥb al-ǧīš īǧrf arḍh ʿndmā dẖlt	ṣāḥb al-mtǧr kān īmsḥ arḍh ʿndmā dẖlt	0
5397	mn al-ġrīb anhm lm īrdwā ʿli rsāltnā	mn al-ġrīb anhm lm īrdwā ʿli rāʾiḥtnā	1
5398	trk ṭāʾirth fī sīārth	lqd trk tḏākrh fī sīārth	0
5399	nšrt tārā bʿḍ al-bnzīn ʿli ẖbzhā	nšrt tārā bʿḍ al-zbdẗ ʿli ẖbzhā	0
5400	ālṣhrīǧ ʿālq ʿli al-ṣẖūr	ālnāqlẗ ʿālqẗ fī al-bḥr	1
5401	ttkūn mīāh al-bḥr bškl rʾīsī mn al-skr wālmāʾ	ttkūn mīāh al-bḥr bškl rʾīsī mn al-mlḥ wālmāʾ	0
5402	ūẖrǧ mn al-ḥmām ūbdʾa fī tnẓīf nfsh	ūẖrǧ mn al-mktbẗ ūbdʾa fī sḥb nfsh	1
5403	dʿnā nḏhb ili al-sūbr mārkt lšrāʾ al-ṭʿām llšwāʾ	dʿnā nḏhb ili al-sūbr mārkt lšrāʾ amtḥān al-šwāʾ	1
5404	šẖṣān īlʿbān al-ʿāb al-fīdīū ʿli al-bīānū	šẖṣān īʿzfān al-ǧāz ʿli al-bīānū	0
5405	ʿhd al-mʿlm lābnī dīnāṣūr al-ṣf llʿṭlāt	qām al-mʿlm btklīf abnī al-hāmstr fī al-ṣf lqḍāʾ al-ʿṭlāt	0
5406	ʾastẖdm skrtīrẗ lfḥṣ mkālmātī	ʾastẖdm mnẓfًā lfḥṣ mkālmātī	1
5407	tqfz al-ʾasmāk mn frʿ ili frʿ	ālqrd īqfz mn frʿ ili frʿ	0
5408	tm al-ʿṯūr ʿli ǧīb mlqi fī zbdẗ smīkẗ	tm al-ʿṯūr ʿli ǧīb mlqi fī šǧīrẗ smīkẗ	0
5409	ālʾaṭbāʾ īʿālǧūnh bālsm	ālʾaṭbāʾ īʿālǧūnh bāldwāʾ	0
5410	āḍṭrrt lǧlb al-māʾ mn al-bʾir	āḍṭrrt lǧlb al-māʾ mn al-srīr	1
5411	tġsl ūǧhhā bālmāʾ al-bārd	tġsl ūǧhhā bālzīt al-bārd	1
5412	kān hnāk ẖātm ʿli kl mn aṣābʿh	kān hnāk ẖātm ʿli kl šʿr	1
5413	īmknnī al-mšī mʿ sāqī	īmknnī al-mšī mʿ anfī	1
5414	qmr mšrq mʿlq fī al-smāʾ	qmr mšrq mʿlq fī al-šms	1
5415	ṭārdt al-lṣ lmdẗ 100 īārdẗ	ṭārdt al-lṣ lmʾiẗ kwākb	1
5416	thb al-rīḥ šʿrhā mn ǧbīnhā	thb al-rīḥ šʿrhā mn iṣbʿ qdmhā	1
5417	īḥtwy al-fndq ʿli al-ʿdīd mn mlāʿb al-tns	īḥtwy al-fndq ʿli al-ʿdīd mn mtāḥf al-tns	1
5418	ʾaḍft al-qlīl mn aīs krīm al-fānīlīā ili fṭīrẗ bn	ʾaḍft al-qlīl mn aīs krīm al-fānīlīā ili sm bn	1
5419	ḥlqt al-ṭāʾirāt mn ẖlāl al-sḥb	ḥlqt al-ṭāʾirāt ʿbr al-mḥīṭ	1
5420	tmtlʾi aḥwāḍ al-zhūr bmzīǧ mn al-znābq wālūrūd	tmtlʾi aḥwāḍ al-zhūr bmzīǧ mn al-znābq wālbṭārīāt	1
5421	mn fḍlk arfʿ al-ṣndūq mn asfl al-rf lʾaǧlī	mn fḍlk arfʿ al-ṣndūq mn al-qmr lī	1
5422	ǧīk kātb ġzīr al-intāǧ ūqṣṣ qṣīrẗ	ǧīk kātb ġzīr al-intāǧ wāẖtbārāt qṣīrẗ	1
5423	ǧlbt sīlfīā mnšfẗ mn al-šms	ǧlbt sīlfīā mnšfẗ mn al-ḥmām	0
5424	lqd aǧrīt lhā ʿmlīẗ ǧrāḥīẗ ʿli rkbthā fī al-ʿīādẗ	ẖḍʿt lʿmlīẗ ǧrāḥīẗ ʿli rkbthā fī al-mktbẗ	1
5425	īnḥnī , al-tqṭ ḥǧrrā kbīrrā	īnḥnī , al-tqṭ kūkbbā kbīrrā	1
5426	ḏhb ili al-mstšfi bʿd ḍrbẗ ʿli ūǧhh	ḏhb ili mḥṭẗ al-qṭār bʿd ḍrbẗ ʿli ūǧhh	1
5427	kān fmh mlīʾiā bālbskwyt	kānt aṣābʿ qdmīh mlīʾiẗ bālbskwyt	1
5428	ālsīāḥ īʾaẖḏūn ḥmām šms ūmrḥ fī al-mḥīṭ	ālsīāḥ īʾaẖḏūn ḥmām šms wyqḍūn fī al-kbd	1
5429	ālsīdẗ al-ʿǧūz nbātīẗ ūlā tlms al-fāṣūlīā	ālsīdẗ al-ʿǧūz nbātīẗ ūlā tlms al-lḥm	0
5430	āstqlnā sīārẗ isʿāf ūnqlnāhā ili al-mstšfi	āstqlnā sīārẗ isʿāf ūhrʿnāhā ili al-mlʿb	1
5431	kān ldīhm šwāʾ fī mrḥāḍ īūm al-ʾaḥd	kān ldīhm šwāʾ fī al-fnāʾ īūm al-ʾaḥd	0
5432	ḏhbt ili ṭbīb al-ʾasnān lʾaẖrǧ snnā	ḏhbt ili astāḏī lʾaẖrǧ snnā	1
5433	ʾaklt ʿlbẗ mn al-rqāʾiq , lʾanhā kānt mqrmšẗ llġāīẗ	ʾaklt ʿlbẗ mn mẖfūq al-ḥlīb , lʾanhā kānt mqrmšẗ llġāīẗ	1
5434	ẖāḍ ʿbr al-bḥr	ẖāḍ ʿbr al-nhr	0
5435	ṭār bālsīārẗ ṣġīrẗ ili kūbā	ṭār bālṭāʾirẗ ṣġīrẗ ili kūbā	0
5436	kān īḍʿ sūrrā ǧdīddā fī mnzlh	kān īḍʿ sīāǧًā ǧdīddā ʿli rfh	1
5437	ḥṣl ʿli ūẓīfẗ ġsl al-ʾaṭbāq fī ṣālūn bītzā	ḥṣl ʿli ūẓīfẗ ġsl al-sīārāt fī ṣālūn bītzā	1
5438	ǧls bǧānb al-šms , īqrʾa rwāīẗ	ǧls bǧānb al-nār , īqrʾa rwāīẗ	0
5439	dlkī al-šāmbū fī frūẗ al-rʾas ltnẓīfh bškl afḍl	qm btdlīk al-lḥm fī frūẗ al-rʾas ltnẓīfh bškl afḍl	1
5440	ʾaẖḏt al-kmṯri ūqlīlā fī ḏlk	ʾaẖḏt qlm ūʿḍt fīh	1
5441	ālišʿāʿ hū mǧrd šīʾ lūǧbẗ ẖfīfẗ ṣḥīẗ	fākhẗ al-kīwy hī al-šīʾ al-ūḥīd lūǧbẗ ẖfīfẗ ṣḥīẗ	0
5442	nḍʿ al-ǧbl fī bīūt al-klāb ʿndmā nbtʿd	nḍʿ al-klb fī bīūt al-klāb ʿndmā nbtʿd	0
5443	īḥtāǧ mṣff al-šʿr ili fršāẗ šʿr ūzīt llʿml	īḥtāǧ mṣff al-šʿr ili fršāẗ šʿr ūšāmbū llʿml	0
5444	ḏhbt ili al-mstšfi ūtm lf šʿrī	ḏhbt ili mṣff al-šʿr ūtǧʿd šʿrī	0
5445	ʾaūqft al-ṭāʾirẗ fī al-fnāʾ al-ẖlfī	ʾaūqft al-sīārẗ fī al-fnāʾ al-ẖlfī	0
5446	rfʿt al-ṭāʾirẗ mn al-ṭāʾir	rfʿt al-ṭāʾirẗ mn ḥāmlẗ al-ṭāʾirāt	0
5447	bʿd ẓhr al-īūm ḏhbnā ili ṣālẗ al-ʾalʿāb al-rīāḍīẗ lmmārsẗ al-rīāḍẗ	ḏhbnā bʿd ẓhr al-īūm ili al-mtḥf lltmrn	1
5448	ǧls mʿ ḥzmẗ ʿli rkbtīh	ǧls mʿ ḥzmẗ ʿli rʾith	1
5449	īǧb an tṭīr ṭāʾirtk al-ūrqīẗ ḍd al-rīḥ	īǧb an tṭīr ṭāʾirtk al-ūrqīẗ ḍd al-māʾ	1
5450	ūqft īlī fī al-ṭābūr lʾakṯr mn sāʿẗ lrkūb al-sfīnẗ al-dwārẗ fī mtnzh	ūqft īlī fī al-ṭābūr lʾakṯr mn sāʿẗ lrkūb al-sfīnẗ al-dwārẗ fī al-mktbẗ	1
5451	trtdī nẓārāt dāknẗ ʿndmā tšrq al-šms	ūḍʿt nẓārāt qṣr al-nẓr ʿndmā tšrq al-šms	1
5452	ǧlst ʿli krsī fī al-smāʾ	ǧlst ʿli krsī fī al-fnāʾ	0
5453	ʾaʿṭāh al-ṭbīb bʿḍ al-ḥbūb ltẖfīf al-mh	ʾaʿṭāh al-šīf bʿḍ al-ḥbūb ltẖfīf al-mh	1
5454	īmknnā al-qīām bnzhẗ ʿli al-ṭrīq	īmknnā al-qīām bnzhẗ ʿli al-ʿšb	0
5455	ʾanā astḥm fī al-ḥmām	ʾanā astḥm fī al-mṭbẖ	1
5456	īmkn an īkūn al-tdẖīn ʿādẗ mmītẗ	īmkn an īkūn al-tdẖīn ʿādẗ ṣḥīẗ	1
5457	šʿr frīqnā bālkṯīr mn al-mǧd bʿd fūznā	šʿr frīqnā bẖībẗ aml kbīrẗ bʿd fūznā	1
5458	iḏā lm īǧīb aḥd ʿli al-bāb , flmāḏā lā tḥāūl ṭrq al-bāb al-ẖlfī?	iḏā lm īǧīb aḥd ʿli al-bāb , flmāḏā lā tḥāūl ksr al-bāb al-ẖlfī?	1
5459	īkrh al-ẖḍrwāt ḥqā. aʿṭh bʿḍ al-ḥlū	īkrh al-ẖḍrwāt ḥqā. aʿṭh bʿḍ al-mlfūf	1
5460	qāl al-ṭbīb anh īǧb an īkūn ldīk ṭʿām dhnī hḏh al-ʾaīām	qāl al-ṭbīb anh īǧb tnāūl al-ṭʿām al-ẖfīf hḏh al-ʾaīām	0
5461	mn al-ǧīd an tsīr al-bīʾiẗ ʿli al-ʿšb	mn al-ǧīd an ttẖlṣ al-bīʾiẗ mn al-ʿšb	0
5462	ālǧū ḥār ǧdā lḏā fhū īrīd šrb al-kūlā al-mṯlǧẗ	ālǧū ḥār ǧdā lḏā īrīd šrb al-māʾ al-sāẖn	1
5463	kān mn al-ʾafḍl an ntūqf ʿn al-tḥdṯ bṣūt ʿālٍ fī al-ʾamākn al-ʿāmẗ	kān mn al-ʾafḍl an ntḥdṯ bṣūt ʿāl fī al-ʾamākn al-ʿāmẗ	1
5464	īstmtʿ bālsfr fī ǧmīʿ anḥāʾ al-kūn	īstmtʿ bālsfr fī ǧmīʿ anḥāʾ al-ʿālm	0
5465	bdʾa al-ṭlāb fī al-ḥṣūl ʿli al-ʾarz bmǧrd dẖūlhm ili al-mlʿb	bdʾa al-ṭlāb fī al-ḥṣūl ʿli al-ʾarz bmǧrd dẖūlhm ili al-ḥql	0
5466	īblġ ṭūl sūr al-ṣīn al-ʿẓīm ḥwālī 6700 mtr	īblġ ṭūl sūr al-ṣīn al-ʿẓīm ḥwālī 6700 kīlūmtr	0
5467	ʿāšt al-ʾamīrẗ al-ǧmīlẗ fī qṣr ūrdī kbīr	ʿāšt al-ʾamīrẗ al-ǧmīlẗ fī ṯlāǧẗ ūrdīẗ kbīrẗ	1
5468	ālǧū bārd ǧdā fī al-ġrfẗ , mn al-ʾafḍl al-ā tẖlʿ ẖātmk	ālǧū bārd ǧdā fī al-ġrfẗ , mn al-ʾafḍl al-ā tẖlʿ mʿṭfk	0
5469	qmnā btūẓīf ḍābṭ šrṭẗ llqīām bālʾaʿmāl al-mnzlīẗ lʾannā ǧmīʿā ksāli llġāīẗ llqīām bḏlk bʾanfsnā	lqd astʾaǧrt ẖādmẗ llqīām bālʾaʿmāl al-mnzlīẗ lʾannā ǧmīʿā ksāli llġāīẗ llqīām bḏlk bʾanfsnā	0
5470	ālhwāʾ wālmāʾ ḍrūrẗ llḥīāẗ	ālhwāʾ wālmāʾ ġīr ḍrūryin llḥīāẗ	1
5471	inhā nāʾimẗ , īǧb an nbqi ṣāẖbīn	inhā nāʾimẗ , īǧb an nltzm al-ṣmt	0
5472	ʾarād lms sāqīhā līšʿr al-ṭfl ītḥrk	ʾarād lms bṭnhā līšʿr al-ṭfl ītḥrk	0
5473	tʾarǧḥ fī al-ġābẗ mn šǧrẗ ili šǧrẗ	tʾarǧḥ fī al-sīnmā mn šǧrẗ ili šǧrẗ	1
5474	tḥb al-ʿdīd mn anwāʿ al-fākhẗ al-mẖtlfẗ , mṯl lḥm al-bqr	tḥb anwāʿًā mẖtlfẗ mn al-fākhẗ , mṯl al-mūz	0
5475	lā īmkn inkār an al-nmūr wālslāḥf tbdū mtšābhẗ	lā īmkn inkār an al-nmūr wālqṭṭ tbdū mtšābhẗ	0
5476	ṭbīb al-ʾasnān īnẓf aḏnī	īqūm ṭbīb al-ʾasnān btnẓīf asnānī	0
5477	īrǧi ilqāʾ nẓrẗ ʿli qāʾimtnā , iḏā knt trġb fī ṭlb šīʾ mā	īrǧi ilqāʾ nẓrẗ ʿli al-ṭhāẗ ldīnā , iḏā knt trġb fī ṭlb šīʾ mā	1
5478	ālšāmbū lā īzāl afḍl ṭrīqẗ aʿrfhā ltnẓīf šʿrī	lā īzāl mkīf al-šʿr afḍl ṭrīqẗ aʿrfhā ltnẓīf šʿrī	1
5479	ʿndmā ūṣlt ili al-ūlāīāt al-mtḥdẗ al-ʾamrīkīẗ , arīd al-ḏhāb lruʾīẗ tmṯāl al-ḥrīẗ al-šhīr	ʿndmā ūṣlt ili kndā , arīd al-ḏhāb lruʾīẗ tmṯāl al-ḥrīẗ al-šhīr	1
5480	tʿīš fī ḏlk al-mnzl bīn al-ġīūm	tʿīš fī ḏlk al-mnzl bīn al-ʾašǧār	0
5481	bni ḥrīq ʿdẗ mnāzl fī al-mnṭqẗ	dmr ḥrīq ʿdẗ mnāzl fī al-mnṭqẗ	0
5482	lā īmknnā al-ʿīš bdūn ṭʿām	īmknnā an nʿīš bdūn ṭʿām	1
5483	ldīhā ṭāʾirẗ ūrqīẗ zrqāʾ ūẖḍrāʾ	ldīhā bāndā zrqāʾ ūẖḍrāʾ	1
5484	ʾanā dāʾimā aḏhb ili al-mdrsẗ bālṣwārīẖ	ʾaḏhb ili al-mdrsẗ bālbāṣ.	0
5485	40٪ fqṭ mn al-ʾaṭfāl fī sn 5 snwāt īḥṣlūn ʿli tʿlīm mā qbl al-mdrsẗ	40٪ fqṭ mn al-ʾaṭfāl fī sn al-ẖāmsẗ īmknhm al-ḥṣūl ʿli ūẓīfẗ mā qbl al-mdrsẗ	1
5486	hḏā al-ʿml sīklf dmh al-āḥtīāṭī	hḏh al-ūẓīfẗ stklf ūqt frāġh	0
5487	ṣnʿt fīlmmā ʿndmā kānt lā tzāl klbbā	qāmt bʿml fīlm ʿndmā kānt lā tzāl mrāhqẗ	0
5488	ībdʾa al-ʾaṭfāl bāltbāhī bmǧrd dẖūl aī šẖṣ ili al-mnzl	ībdʾa al-ʾaṭfāl bāltbāhī bmǧrd dẖūl aī šẖṣ ili al-fīl	1
5489	nšǧʿ al-ṭlāb ʿli mwāṣlẗ drāsthm fī al-sǧn	nšǧʿ al-ṭlāb ʿli mwāṣlẗ drāsthm fī al-klīẗ	0
5490	fr tnānīn al-mktb fī ḥālẗ mn al-ḏʿr mʿ andlāʿ al-ḥrīq	fr ʿmāl al-mktb fī ḥālẗ mn al-ḏʿr mʿ andlāʿ al-ḥrīq	0
5491	smḥ al-ṭāhī ltūm btbnī al-ītīm al-mšrd	smḥ al-qāḍī tūm ltbnī al-ītīm al-mšrdīn	0
5492	tm nql ǧmīʿ al-rkāb mn ḥāflẗ ili aẖri	tm nql ǧmīʿ al-rkāb mn ṯʿbān ili aẖr	1
5493	īmkn llnās al-tġlb ʿli al-kwārṯ bāltknūlūǧīā	īmkn llnās al-tġlb ʿli al-kwārṯ bālkūlā	1
5494	tqnīāt al-srqẗ īmkn an tẖff mn tʾaṯīr al-ḍrr ʿli al-ǧsm	tqnīāt al-āstrẖāʾ īmkn an tẖff mn tʾaṯīr al-ḍrr ʿli al-ǧsm	0
5495	huʾlāʾ al-ʾaṭfāl qd lā īẖūḍūn al-mʿrkẗ	qd lā īnǧū huʾlāʾ al-mḥārbīn al-qdāmi mn al-mʿrkẗ	0
5496	rʾai al-lṣ al-ṭfl ūhrb	rʾai al-lṣ al-šrṭẗ ūhrb.	0
5497	ālḥb hū ḥlqẗ fī ʿšāʾh	ālḥb hū ḥlqẗ fī ḥīāth	0
5498	īʿd tqlīṣ al-fǧūẗ bīn al-ʾaġnīāʾ wālʾaṭfāl aḥd al-tḥdīāt al-rʾīsīẗ	īʿd tqlīṣ al-fǧūẗ bīn al-ʾaġnīāʾ wālfqrāʾ aḥd al-tḥdīāt al-rʾīsīẗ	0
5499	īǧb ʿlīk ibqāʾ al-mrḍi bʿīddā ʿn ṣndūq al-dwāʾ	īǧb an tbqī ṭflk bʿīddā ʿn ṣndūq al-dwāʾ	0
5500	īǧb fḥṣ ǧmīʿ al-ʾamtʿẗ fī al-mṭār	īǧb fḥṣ ǧmīʿ al-ʾamtʿẗ fī al-ṯlāǧẗ	1
5501	qām al-qsm bbnāʾ ẖzān al-mʿrfẗ	qām al-qsm bbnāʾ mṭʿm llmʿrfẗ	1
5502	ʾarīd kūb mn al-qhūẗ mʿ bʿḍ al-ḥlīb	ʾarīd kūb mn al-qhūẗ mʿ bʿḍ al-zīt	1
5503	fī rʾayi , fin afḍl ṭrīqẗ ltḥqīq al-nǧāḥ mn ẖlāl al-ʿml al-ǧād	fī rʾayi , fin afḍl ṭrīqẗ ltḥqīq al-nǧāḥ hī mn ẖlāl mūsīqi al-rūk al-ṣlbẗ	1
5504	tm rfḍ mqtrḥātnā bġḍ al-nẓr ʿn mzāīāhā	tm rfḍ mqtrḥātnā bġḍ al-nẓr ʿn aḏwāqhm	1
5505	ʾarīd bʿḍ al-māʾ al-mġlī lṣnʿ al-šāī	ʾarīd bʿḍ al-ṭīn al-mġlī lṣnʿ al-šāī	1
5506	lā tšrb al-māʾ fī al-ṣīf	lā tšrb al-māʾ fī al-nhr	0
5507	ḏhbt ili al-šms mbāšrẗ bʿd al-ʿšāʾ	ḏhbt ili al-frāš bʿd al-ʿšāʾ būqt qṣīr	0
5508	tʿrf ʿli al-ṣdīq al-qdīm lmnzlh	tʿrf ʿli al-ṣdīq al-qdīm lṭfūlth	0
5509	ktb al-rwāīẗ klb ṣġīr	ktb al-rwāīẗ kātb šāb	0
5510	rʾaīt šrṭī īsrq fī ġrftī	rʾaīt lṣāً īsrq fī ġrftī	0
5511	īsmḥ al-mʿlm llʾaṭfāl bāllʿb ʿli al-mnāḍd	īsmḥ al-mʿlm llʾaṭfāl bāllʿb ʿli al-ʿšb	0
5512	lm nʿṯr ʿli bdīl lkūkbh	lm nǧd bdīlā ʿn ūẓīfth	0
5513	tdrs al-lġẗ al-inǧlīzīẗ fī al-nār fī aūqāt frāġhā	tqūm btdrīs al-lġẗ al-inǧlīzīẗ fī al-mǧtmʿ fī aūqāt frāġhā	0
5514	ūqʿt ḥwādṯ lʾanh lm īṭīʿ ašʿẗ al-šms	ūqʿt al-ḥwādṯ lʾanh lm īṭīʿ al-qwāʿd	0
5515	tlūṯ al-hwāʾ mšklẗ ẖṭīrẗ	tlūṯ al-hwāʾ mrḍ ẖṭīr	1
5516	ūẓīfẗ bdwām ǧzʾī mnāsbẗ lā tšġl al-kṯīr mn al-ūqt llṭlāb	mʿrkẗ mnāsbẗ lā tšġl al-kṯīr mn al-ūqt llṭlāb	1
5517	mn ġīr al-ṣḥī an īnfq al-ṭlāb kl dmhm ʿli al-drāsẗ	mn ġīr al-ṣḥī an īqḍī al-ṭlāb kl ūqthm fī al-drāsẗ	0
5518	inhā līst tǧrbẗ mmtʿẗ fī al-īūm al-ʾaūl llšbāb ʿli al-qmr	inhā līst tǧrbẗ mmtʿẗ fī al-īūm al-ʾaūl llšbāb fī al-ḥrm al-ǧāmʿī	0
